Area;Player Direction;Pass Direction;Offensive Action;Footwork;Make/Miss;Off Dribble Hand;Defender Distance;PTS;Year
Left Wing;Left;Right;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Tight;0;2023-2024
Right Wing;Stationary;Left;Spot Up;1-2 Left/Right;Make ;Catch & Shoot;Wide Open;3;2023-2024
Left Corner;Stationary;Right;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Wide Open;0;2023-2024
Left Wing;Away From Hoop;Off the Dribble;PnR;1-2 Left/Right;Make ;Left;Tight;3;2023-2024
Left Wing;Left;From Hoop;DHO;1-2 Left/Right;Miss;Catch & Shoot;Wide Open;0;2023-2024
Top;To Hoop;Off the Dribble;Iso;1-2 Left/Right;Miss;Left;Open;0;2023-2024
Top;Stationary;Left;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Wide Open;0;2023-2024
Right Corner;Left;Left;Spot Up;Hop  ;Make ;Catch & Shoot;Wide Open;3;2023-2024
Right Wing;Right;Off the Dribble;PnR;1-2 Left/Right;Miss;Right;Wide Open;0;2023-2024
Left Wing;To Hoop;Right;Spot Up;1-2 Left/Right;Make ;Catch & Shoot;Tight;3;2023-2024
Top;Right;Off the Dribble;PnR;Hop  ;Make ;Right;Close;3;2023-2024
Right Wing;Left;From Hoop;Post Kick Out;Hop  ;Miss;Catch & Shoot;Tight;0;2023-2024
